country,under-1992,under-1992-est,under-2000,under-2000-est,under-2008,under-2008-est,under-2016,under-2016-est,stunting-1992,stunting-1992-est,stunting-2000,stunting-2000-est,stunting-2008,stunting-2008-est,stunting-2016,stunting-2016-est,wasting-1992,wasting-1992-est,wasting-2000,wasting-2000-est,wasting-2008,wasting-2008-est,wasting-2016,wasting-2016-est,mortality-1992,mortality-2000,mortality-2008,mortality-2015
Guyana,22,,10.4,,11.2,,10.6,,18.4,*,13.8,,18.9,,12,,9.2,*,12.1,,6.8,,6.4,,5.7,4.7,4.2,3.9
Haiti,61.5,,55.2,,54.4,,53.4,,40.1,,28.3,,29.7,,21.9,,5.9,,5.6,,10.3,,5.2,,13.8,10.5,8.3,6.9
Honduras,22.7,,19,,15.3,,12.2,,42.5,,34.5,,29.9,,22.7,,2.1,,1.2,,1.4,,1.4,,5.3,3.7,2.7,2
India,22.2,,17,,17.2,,15.2,,61.9,,54.2,,47.9,,38.7,,20,,17.1,,20,,15.1,,11.9,9.1,6.6,4.8
Indonesia,19,,17.2,,17.7,,7.6,,53.3,*,42.4,,40.1,,36.4,,14.1,*,5.5,,14.8,,13.5,,7.7,5.2,3.6,2.7
"Iran, Islamic Rep.",4.2,*,5.2,,6.6,,3.2,*,23.9,*,20.4,,7.8,*,6.8,,9.2,*,6.1,,4,*,4,,5.2,3.5,2.1,1.6
Iraq,13.5,,24.6,,26.6,,22.8,,27.6,,28.3,,27.5,,22.6,,4.4,,6.6,,5.8,,7.4,,5.2,4.5,3.8,3.2
Jamaica,10.5,,7.8,,7.6,,8.1,,14.7,,6.6,,5.2,,5.7,,3.2,,3,,2.1,,3,,2.9,2.2,1.9,1.6
Jordan,5.8,,7,,2.2,*,1.8,*,20.5,,12,,8.3,,7.8,,3.8,,2.5,,1.6,,2.4,,3.4,2.8,2.2,1.8
Kazakhstan,-,,4.4,*,3.2,*,2.5,*,20.7,*,13.9,,17.5,,13.1,,4.9,*,2.5,,4.9,,4.1,,5.3,4.4,2.6,1.4
Kenya,35.3,,32.3,,25.7,,21.2,,40.2,,41,,35.2,,26,,7.1,,7.4,,7,,4,,10.8,10.8,7,4.9
Kuwait,43.6,,1.9,*,1.7,*,3.1,*,14.5,*,4,,5.1,,5.8,,5.1,*,2.2,,2.2,,2.4,,1.6,1.3,1.1,0.9
Kyrgyz Republic,-,,15.2,,9.1,,6,,27.4,*,27.1,*,22.6,,12.9,,8.5,,3.5,*,1.3,,2.8,,6.5,4.9,3.4,2.1
Lao PDR,43.6,,39.2,,24.7,,18.5,,53.6,,48.2,,47.6,,43.8,,11.8,,17.5,,7.3,,6.4,,15.4,11.8,8.6,6.7
Latvia,-,,5.4,*,1.3,*,1.4,*,7.1,*,5,*,3.5,*,3.2,*,5.4,*,2.8,*,2.5,*,2.4,*,2.3,1.7,1.1,0.8
Lebanon,2.1,*,1.8,*,3.7,*,3,*,20.1,*,15.8,*,13.8,*,12,*,5.1,*,4.6,*,4.3,*,4,*,3,2,1.1,0.8
Lesotho,15.2,,13,,11.2,,11.2,,39.2,,53,,42,,33.2,,3.2,,6.7,,3.9,,2.8,,8.9,11.7,11.7,9
Liberia,27.6,,36.5,,36.6,,31.9,,42.7,*,45.3,,39.4,,32.1,,6.7,*,7.4,,7.8,,5.6,,25.5,18.2,10.1,7
Libya,-,,-,,-,,-,,-,,26.2,*,21,,23.3,*,-,,7.4,*,6.5,,6.4,*,3.8,2.8,1.9,1.3
Lithuania,-,,3.2,*,2.1,*,1.4,*,9.3,*,5.2,*,3.6,*,3.1,*,5.8,*,2.7,*,2.5,*,2.4,*,2,1.2,0.8,0.5
"Macedonia, FYR",-,,8.4,*,3.7,*,2.4,*,12,*,8,,8.2,*,7.7,,3.9,*,1.7,,2.8,*,4.3,,3.4,1.6,1.2,0.6
Madagascar,29.1,,34.8,,31.9,,33,,60.9,,55.6,*,49.2,,48.6,*,6.4,,10.9,*,10.3,*,9.5,*,15.1,10.9,6.7,5
Malawi,45.7,,28.6,,23.1,,20.7,,55.8,,54.6,,48.8,,42.4,,6.6,,6.8,,1.8,,3.8,,22.7,17.4,10,6.4
Malaysia,4.1,*,2.6,*,3.9,*,2,*,28.7,*,20.7,,17.2,,10.8,*,18.2,*,15.3,,12.4,*,10.2,*,1.5,1,0.8,0.7
Mali,17.3,,13.9,,6.3,,4.1,*,46.4,*,42.7,,38.5,,37.7,*,15.1,*,12.6,,15.3,,11.6,*,24.7,22,14.8,11.5
Mauritania,14.4,,11.5,,9.2,,5.6,,54.8,,39.5,,23,,22,,17.4,,15.3,,8.1,,11.6,,11.5,11.4,10.3,8.5
Mauritius,8,,7.1,,5.2,,4.9,*,14.1,*,12.9,*,11.8,*,10.2,*,15.8,*,15,*,14.9,*,13.3,*,2.1,1.9,1.6,1.4
Mexico,6.8,,4.4,*,4.6,*,4.3,*,24.5,*,21.7,,15.5,,13.6,,3.4,*,2.3,,2,,1.6,,4.2,2.6,1.8,1.3
Moldova,-,,17,*,15.2,*,12.2,*,13.6,*,12.3,*,8.4,*,6.4,,5.2,*,3.9,*,3.3,*,1.9,,3.4,3.1,1.8,1.6
Mongolia,37.1,,38.2,,30.1,,20.5,,33.1,,29.8,,15.5,,10.8,,2.4,,7.1,,1.7,,1,,9.8,6.3,3.5,2.2
Montenegro,-,,-,,0.2,*,0.3,*,-,,-,,7.9,,9.4,,-,,-,,4.2,,2.8,,-,-,0.8,0.5
Morocco,6.7,,6.5,,5.4,,4.4,*,29.9,,24.3,*,18.3,*,14.9,,2.6,,4.2,*,3.5,*,2.3,,7.3,5,3.6,2.8
Mozambique,58.8,,42,,35,,25.3,,55.3,*,49.6,,43.7,,43.1,,10.5,*,6.8,,4.2,,6.1,,23.2,17.1,11.4,7.9
Myanmar,62.7,,52.4,,26.4,,14.2,,53.6,,40.8,,35.1,,31,*,12.7,,10.7,,7.9,,7.1,*,10.4,8.2,8.7,5
Namibia,36.7,,30.4,,30.5,,42.3,,35.7,,29.5,,29.6,,23.1,,9.6,,10,,7.5,,7.1,,7,7.6,6,4.5
Nepal,23.4,,22.2,,13.3,,7.8,,61.6,*,57.1,,49.3,,37.4,,11.9,*,11.3,,12.7,,11.3,,12.7,8.1,5.1,3.6
Nicaragua,52.7,,34.8,,21.5,,16.6,,29.6,,25.2,,23,,15.5,*,2.4,,2.3,,1.5,,1.1,*,6.1,4,2.8,2.2
Niger,31,,22.8,,12.8,,9.5,,48.3,,54.2,,47,,43,,18.9,,16.2,,12.9,,18.7,,31.4,22.7,14.1,9.6
Nigeria,17.9,,9.2,,5.9,,7,,43.8,,39.7,,41,,32.9,,20.6,,17.6,,14.4,,7.9,,21.2,18.7,14.1,10.9
North Korea,24.7,,37.9,,39.5,,41.6,,43.5,*,51,,32.4,,27.9,,9.1,*,12.2,,5.2,,4,,5.5,6,3.2,2.5
Oman,19,,13.2,,7.9,,4.1,*,24.2,,12.9,,9.8,,14.1,,7.8,,7.3,,7.1,,7.5,,3.2,1.7,1.2,1.2
Pakistan,25.7,,22.4,,22.2,,22,,54.5,,41.5,,40.6,*,45,,12.5,,14.2,,12.6,*,10.5,,13.4,11.2,9.6,8.1
Panama,25.9,,27.4,,18.4,,9.5,,28,*,22.3,*,19.1,,13.6,*,1.6,*,1.3,*,1.2,,0.9,*,2.9,2.6,2.1,1.7
Papua New Guinea,-,,-,,-,,-,,50.1,*,48,*,47.2,*,49.5,,8.6,*,8.3,*,8.1,*,14.3,,8.7,7.9,7,5.7
Paraguay,19.9,,13.3,,11.9,,10.4,,18.3,,17.7,*,14.1,*,10.9,,0.6,,2.2,*,1.7,*,2.6,,4.3,3.4,2.6,2.1
Peru,28.1,,21.6,,15.4,,7.5,,37.3,,31.3,,28.2,,14.6,,1.9,,1.1,,0.8,,0.6,,7.1,3.9,2.3,1.7
Philippines,27,,21.3,,13.8,,13.5,,40.9,,38.3,,32.3,,30.3,,8.8,,8,,6.9,,7.9,,5.2,4,3.3,2.8
Qatar,-,,-,,-,,-,,-,,3.1,*,1.1,*,1,*,-,,2.7,*,2,*,2,*,1.8,1.2,1,0.8
Romania,2.9,*,1.4,*,0.6,*,0.8,*,11.2,,12.8,,9.8,*,9.5,*,3.3,,4.3,,3.3,*,3.3,*,3.5,2.7,1.6,1.1
Russian Federation,-,,4.9,*,1.3,*,0.7,*,17.8,*,15.9,*,12,*,12.8,*,5.6,*,4.4,*,3.8,*,4.5,*,2.6,2.3,1.4,1
Rwanda,53.9,,60.6,,42.8,,31.6,,56.8,,47.5,,43,*,37.9,,5,,8.3,,4.3,*,2.2,,16.6,18.4,7.8,4.2
Saudi Arabia,3.8,*,1.2,*,2.9,*,1.2,*,21.4,,15.5,*,11.9,*,3.4,*,2.9,,7.3,*,6.1,*,3.6,*,3.7,2.3,1.8,1.5
Senegal,25.5,,29.4,,16.6,,10,,34.4,,29.5,,23.8,*,19.4,,9,,10,,8.3,*,5.8,,13.9,13.5,7.6,4.7
Serbia,-,,-,,7.4,*,6.9,*,-,,-,,7.4,,6,,-,,-,,4,,3.9,,-,-,0.8,0.7
Sierra Leone,41.7,,38,,32.4,,22.3,,40.9,,38.4,,37.4,,37.9,,10.2,,11.6,,10.5,,9.4,,26.3,23.6,17.9,12
Slovak Republic,-,,5.4,*,5.1,*,4.8,*,10.1,*,9,*,5.2,*,4.2,*,5.3,*,3.9,*,3.2,*,2.9,*,-,1.2,0.9,0.7
Somalia,-,,-,,-,,-,,-,,29.2,,25.9,,-,,-,,19.3,,14.9,,-,,17.5,17.4,16.9,13.7
South Africa,5.3,*,4.6,*,3.7,*,1.7,*,31.5,,30.1,,23.9,,22.2,*,5.9,*,4.5,,4.7,,3.4,*,5.8,7.5,6.8,4.1
South Sudan,-,,-,,-,,-,,-,,-,,-,,33.7,*,-,,-,,-,,23.8,*,-,-,-,9.3
Sri Lanka,31.3,,29.9,,27.6,,22,,29.7,,18.4,,18.3,,14.7,,17.5,,15.5,,13.3,,21.4,,2.1,1.6,1.2,1
Sudan,-,,-,,-,,-,,-,,-,,-,,38.2,,-,,-,,-,,16.3,,-,-,-,7
Suriname,14.5,,14.1,,10.1,,8,,14,*,14.5,,9.8,,8.6,*,7,*,7,,4.9,,4.9,*,4.5,3.4,2.6,2.1
Swaziland,16.6,,21.7,,21.3,,26.8,,38.2,*,36.6,,40.4,,25.5,,2.2,*,1.7,,1.1,,2,,7.9,12.8,11.4,6.1
Syrian Arab Republic,-,,-,,-,,-,,32.9,,24.3,,27.5,,-,,10,,4.9,,11.5,,-,,3.4,2.3,1.7,1.3
